URL,Scraper,Duration,Result
https://www.fundacionreflejosdevenezuela.com/,Beautiful Soup,1.321221113,Success
http://www.correodelorinoco.gob.ve/,Beautiful Soup,1.318598032,Success
http://analisis24.com/,Trafilatura,1.28982091,Success
http://11abril.com/,Trafilatura,1.25156498,Success
https://caracasgringo.wordpress.com/,Trafilatura,1.233344078,Success
http://6topoder.com/,Trafilatura,1.232637167,Success
https://ciudadaniaactiva.org/,Trafilatura,1.227003098,None
http://unidadvenezuela.org/,Trafilatura,1.226336956,Success
https://www.panfletonegro.com/,Trafilatura,1.22349906,Success
http://www.venezuelaawareness.com/,Beautiful Soup,1.202685833,Success
http://confirmado.com.ve/,Beautiful Soup,1.18452692,Success
http://gumilla.org/,Trafilatura,1.182813883,Success
http://www.infobae.media/,Trafilatura,1.168313026,Success
https://albaciudad.org/,Trafilatura,1.138344049,Success
http://cedema.org/,Trafilatura,1.100833893,Success
http://www.asambleanacional.gob.ve/,Beautiful Soup,1.087482691,Success
https://vivoplay.net/,Trafilatura,1.065141201,Success
https://www.telemundo.com/,Beautiful Soup,1.046104908,Success
https://dollar.nu/,Trafilatura,1.035372972,Success
https://vivoplay.net/,Beautiful Soup,1.018416166,Success
https://daniel-venezuela.blogspot.com/,Trafilatura,1.018209696,Success
https://cronica.uno/,Trafilatura,0.989712,Success
https://www.mercado.com.ve/,Beautiful Soup,0.989682198,Error
http://unidadvenezuela.org/,Beautiful Soup,0.958548784,Success
https://bandera-roja.blogspot.com/,Trafilatura,0.935324907,Success
https://futuropresente.com.ve/,Trafilatura,0.919796944,Success
http://sunoticiero.com/,Trafilatura,0.915473938,Success
http://vcrisis.com/,Beautiful Soup,0.905246258,Success
https://dolartoday.com/,Trafilatura,0.904225111,Success
http://www.laverdad.com/,Trafilatura,0.895549059,Success
https://albaciudad.org/,Beautiful Soup,0.886850119,Success
http://dollarparalelovenezuela.com/,Trafilatura,0.883286953,None
http://es.catholic.net/,Trafilatura,0.869247198,Success
https://cronica.uno/,Beautiful Soup,0.855534077,Success
http://www4.cne.gob.ve/,Trafilatura,0.848396063,Success
https://lasarmasdecoronel.blogspot.com/,Trafilatura,0.84623313,Success
https://dollar.nu/,Beautiful Soup,0.841889143,Success
https://www.venelogia.com/,Trafilatura,0.830161333,Success
http://cedema.org/,Beautiful Soup,0.824261904,Success
https://globovision.com/,Beautiful Soup,0.820873022,Success
http://sumate.org/,Trafilatura,0.818627119,Success
http://complotmagazine.com/,Beautiful Soup,0.811886072,Success
https://www.elimpulso.com/,Trafilatura,0.797470093,Success
https://caracasgringo.wordpress.com/,Beautiful Soup,0.796361923,Success
https://www.analitica.com/,Trafilatura,0.790508986,Success
https://devilsexcrement.com/,Trafilatura,0.77894783,Success
http://www.infobae.media/,Beautiful Soup,0.772927999,Success
http://dialogo-americas.com/,Trafilatura,0.764776945,Success
https://socialdemencia.blogspot.com/,Trafilatura,0.738170862,Success
http://manosfueradevenezuela.org/,Trafilatura,0.725620985,Success
https://cuentosintrascendentes.blogspot.com/,Trafilatura,0.706509113,Success
http://es.catholic.net/,Beautiful Soup,0.704277992,Success
https://www.elespectador.com/,Trafilatura,0.677733898,Success
